config_id,budget,performance,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma,agent.rnd_hidden_size,agent.rnd_lr,agent.rnd_output_size,agent.rnd_reward_weight,agent.rnd_update_freq
0,35000.0,1.0,32,65026,32,0.0003379830492,215,22496,0.1438290150534,0.9962887769354,64,0.0002109312896,32,0.0019853681527,996
1,35000.0,0.9392222222222222,64,90471,32,0.0003698661282,855,67954,0.2363534611231,0.9755705677658,32,0.000141148045,32,0.8117591698634,498
2,35000.0,0.9923333333333334,32,90966,64,0.0008425518534,809,44675,0.044299583502,0.9703184350595,32,0.0001668481472,8,0.0910793887644,711
3,105000.0,0.12312801932367151,64,58600,32,0.0001177703751,947,128504,0.195577096185,0.9629632249931,32,0.000243494402,16,0.0032563325875,665
4,105000.0,0.9764725568942437,64,49512,64,0.0001222163473,531,51921,0.0515724533486,0.9879374507823,32,0.0007990951146,16,0.0118701580316,733
5,35000.0,0.7779835390946502,128,92991,32,0.0004202523021,775,126752,0.2918640507249,0.950979395605,64,0.000115917097,16,0.0068101344144,906
6,35000.0,0.837037037037037,32,72079,32,0.0002177747956,548,75153,0.2646761066907,0.9716438351412,32,0.0004925747203,32,0.0010667683315,375
7,35000.0,0.9976666666666667,32,89860,64,0.0004728814982,195,122066,0.1577910692488,0.9979997497118,32,0.0003686391485,16,0.3365319011901,274
8,105000.0,0.06420316301703163,128,17012,32,0.0002075877597,297,82756,0.0261572611735,0.9676127787345,64,0.0001842423613,8,0.0874022113039,654
9,105000.0,0.9947002923976609,32,19396,64,0.0006002684009,706,144834,0.1408361722111,0.973563783011,32,0.0003336169084,32,0.3343169203948,471
10,35000.0,0.9798888888888888,32,89128,32,0.0003734667186,849,111757,0.1008333162643,0.9612961181518,64,0.0004149687848,16,0.0904294334617,826
11,35000.0,0.8971153846153845,32,43538,64,0.0001671404752,239,123243,0.2899707039508,0.9693485953791,64,0.000268391465,16,0.0196904348027,801
12,35000.0,1.0,32,91411,64,0.0008969103002,698,149720,0.1806548746699,0.980321619665,64,0.0001366073492,32,0.489372755535,809
13,105000.0,0.4247839506172839,64,90471,32,0.0003698661282,855,67954,0.2363534611231,0.9755705677658,32,0.000141148045,32,0.8117591698634,498
14,105000.0,0.15636574074074072,128,92991,32,0.0004202523021,775,126752,0.2918640507249,0.950979395605,64,0.000115917097,16,0.0068101344144,906
15,105000.0,0.36571087216248505,64,18286,32,0.0002799789488,561,62512,0.2013038395001,0.973268508255,32,0.0001987386457,8,0.0126673453283,827
16,105000.0,0.9565315315315316,128,28728,32,0.0007021156807,989,39608,0.1646298136358,0.9730364772735,32,0.0003715052117,8,0.020304615778,655
17,35000.0,0.7436213991769547,32,38651,64,0.0007047064221,397,95523,0.0133970844137,0.9526625614286,64,0.0003950530383,8,0.1788680353793,457
18,35000.0,0.8927350427350427,32,72885,64,0.0006416806729,999,136511,0.1143936386987,0.9597998297199,32,0.0006076370481,16,0.7824728966706,656
19,35000.0,0.9271111111111111,32,25997,64,0.0003707667146,914,133417,0.221697263103,0.9509075679286,32,0.0003162469151,8,0.0459967667875,985
20,105000.0,0.9974124809741249,32,38651,64,0.0007047064221,397,95523,0.0133970844137,0.9526625614286,64,0.0003950530383,8,0.1788680353793,457
21,105000.0,0.15051085568326947,32,43538,64,0.0001671404752,239,123243,0.2899707039508,0.9693485953791,64,0.000268391465,16,0.0196904348027,801
22,105000.0,0.9567411924119241,128,75180,64,0.0002553778917,830,146346,0.0597726064058,0.9888911874645,32,0.0001122974919,32,0.0043368209943,865
23,105000.0,0.12160493827160494,128,84498,64,0.0001172646186,976,146491,0.1611006157992,0.960972309715,32,0.0005001474682,32,0.0046486802287,422
24,35000.0,0.9279999999999999,64,32571,32,0.0002842476249,675,27704,0.1212045293099,0.963403559706,32,0.0007590975734,8,0.0044120681317,686
25,35000.0,0.9905555555555556,128,64355,64,0.0003440164509,116,92308,0.1806119629305,0.9891042948617,32,0.0002059170901,16,0.0036255563413,920
26,35000.0,0.6900383141762453,128,43201,64,0.0007882632744,206,123615,0.2510040520185,0.959096161271,64,0.0009066733605,16,0.2646919945814,533
27,105000.0,0.9730855855855857,64,88633,64,0.0009780002085,264,62179,0.1924047346414,0.9966867911916,32,0.0002963135904,16,0.1742763318671,319
28,105000.0,0.13689986282578875,128,98157,32,0.000164777149,706,45907,0.2630686900797,0.983686925543,32,0.0005147351392,8,0.1058137334056,919
29,35000.0,0.7963675213675213,64,54701,32,0.0001204300289,947,89526,0.195577096185,0.967728275988,32,0.000243494402,8,0.003042144374,620
30,35000.0,0.0601521164021164,64,89356,64,0.0001086274327,939,23249,0.06395364854,0.9677923143912,64,0.0002253777678,8,0.0025929572899,198
31,35000.0,0.9928888888888889,64,12307,32,0.0001328008561,979,82118,0.0668575392764,0.9668879224037,32,0.0001109839537,8,0.0021273297479,986
32,105000.0,0.12482332155477031,128,43201,64,0.0007882632744,206,123615,0.2510040520185,0.959096161271,64,0.0009066733605,16,0.2646919945814,533
33,105000.0,0.06338854382332644,64,58605,64,0.0001726154617,971,31246,0.277604469896,0.9667839187145,32,0.0002172576174,8,0.0616531217778,534
34,105000.0,0.06268518518518519,64,60792,32,0.0001366973426,184,49675,0.1916562674822,0.96694004662,32,0.0002359077048,8,0.0035314170366,946
35,35000.0,0.2679824561403509,64,63496,32,0.0001430353792,405,81416,0.2981736942085,0.9675787811254,32,0.0002996654219,8,0.0015635980783,373
36,35000.0,0.9270833333333334,64,59071,64,0.000164277322,975,44001,0.0522910625942,0.9674611563923,32,0.000136738012,8,0.020228067689,987
37,35000.0,0.4943732193732194,32,26755,64,0.0001443257211,638,27833,0.0207868184251,0.9660330522157,32,0.0002968318315,8,0.0011558260843,638
38,105000.0,0.11890155627940645,128,92896,32,0.0001243211293,124,133272,0.1941185674631,0.9620501167302,64,0.0001289182576,8,0.0409304471453,210
39,105000.0,0.0704496891996892,128,13805,32,0.0001171292471,167,63992,0.1933487731596,0.9704666239751,64,0.0001804592657,8,0.1148181372595,115
40,105000.0,0.05235583684950773,64,89356,64,0.0001086274327,939,23249,0.06395364854,0.9677923143912,64,0.0002253777678,8,0.0025929572899,198
41,105000.0,0.1054331190694827,64,63496,32,0.0001430353792,405,81416,0.2981736942085,0.9675787811254,32,0.0002996654219,8,0.0015635980783,373
42,35000.0,0.3161111111111111,128,96815,32,0.0001126105328,272,58837,0.266241202042,0.9537765781763,64,0.0001136490229,8,0.001354423762,185
43,35000.0,0.2509259259259259,128,31361,32,0.0001734581636,110,83144,0.2055693635397,0.9636722971825,64,0.0001347559773,8,0.0662724031159,389
44,35000.0,0.0755952380952381,128,52192,32,0.0001762513201,191,22069,0.2341834828884,0.9537063212969,64,0.0001898391439,8,0.0352502994575,400
45,105000.0,0.056865753855838835,128,47319,64,0.0001202805699,184,39599,0.1916562674822,0.9646101009814,64,0.0001831239037,8,0.0035314170366,804
46,105000.0,0.11353046594982077,32,60245,64,0.0001274046946,952,85131,0.1448227813793,0.9698807814303,32,0.0005406027609,16,0.054995525563,116
47,35000.0,0.9744444444444444,32,62347,64,0.000297063087,709,118415,0.1874139076143,0.9919113006306,64,0.0001126296293,16,0.1405116675421,577
48,35000.0,0.9155349794238684,64,38632,32,0.0005657003259,371,73352,0.2268902603275,0.9598092917553,32,0.0003881287744,16,0.117279720216,688
49,35000.0,0.06969009826152683,64,52958,32,0.0001443425584,184,20903,0.1916562674822,0.9646785113729,32,0.0002906901888,8,0.0035314170366,897
50,105000.0,0.051808150333224084,64,52958,32,0.0001443425584,184,20903,0.1916562674822,0.9646785113729,32,0.0002906901888,8,0.0035314170366,897
51,105000.0,0.05508064516129032,128,52192,32,0.0001762513201,191,22069,0.2341834828884,0.9537063212969,64,0.0001898391439,8,0.0352502994575,400
52,105000.0,0.05123076112165296,64,47319,32,0.0001081272166,150,20616,0.1829259905122,0.9625316384219,32,0.0001831239037,8,0.0024643040338,804
53,105000.0,0.0513641105894627,64,14801,32,0.0001381803739,111,20431,0.1783877829623,0.9542038523203,64,0.0007742989674,8,0.0024171495552,523
54,35000.0,0.7770299145299145,32,91390,32,0.0001055257614,131,34712,0.0139322475945,0.9532264938794,32,0.00046312671,8,0.0015499094713,676
55,35000.0,0.06910225442834138,32,38999,32,0.0001870967341,158,23669,0.0764089992031,0.964660844406,64,0.0005734362214,8,0.0027625159715,215
56,35000.0,0.1835416666666667,32,22334,32,0.0001182709194,125,45984,0.131360418033,0.9660335493235,64,0.0007890344804,8,0.0037421681501,190
57,105000.0,0.047608266573783815,32,64943,32,0.0001016378637,174,29798,0.1089743675753,0.9604477835745,64,0.0003393742396,8,0.0023745134767,485
58,105000.0,0.882473544973545,32,33005,32,0.0007499771825,190,91501,0.0809716216503,0.9778494146026,64,0.0004320916872,8,0.6479927412108,916
59,35000.0,0.8961538461538462,32,26306,64,0.0001099995675,587,22628,0.0147171654527,0.9643445429243,32,0.00022756517,16,0.0010590390756,847
60,35000.0,0.9824444444444445,32,49190,64,0.0004325810365,758,107439,0.0632516614009,0.9943326620422,32,0.0002425310183,8,0.3424309844888,493
61,35000.0,0.05686767169179229,128,11678,64,0.0001100567577,309,21702,0.0116336328126,0.9629865429357,32,0.0002173549022,16,0.0073884868316,331
62,105000.0,0.04388344893240854,32,38999,32,0.0001870967341,158,23669,0.0764089992031,0.964660844406,64,0.0005734362214,8,0.0027625159715,215
63,105000.0,0.05728239366963403,32,44575,64,0.0001068966582,184,42315,0.179234328868,0.9690221877179,64,0.0002058904757,32,0.0058312435493,880
64,105000.0,0.049551881540859495,128,42328,64,0.0001092303089,107,22601,0.1652064796139,0.9699275887874,64,0.0002176038704,8,0.003933986509,790
65,35000.0,0.7941358024691358,32,39954,64,0.0001022509404,760,21881,0.0999975179512,0.9712617707105,64,0.0002111503845,32,0.0096411977189,822
66,35000.0,0.11586345381526106,64,89356,64,0.0001106712849,888,20183,0.0639509379026,0.9677923143912,32,0.0002253777678,8,0.0020436292666,133
67,35000.0,0.9037393162393162,32,35211,32,0.0002323685484,158,23669,0.0935149852086,0.9641416912152,32,0.0005161577952,16,0.0017420714099,129
68,105000.0,0.046697560455949715,32,44636,32,0.0002303410552,101,23889,0.1202985783048,0.9561838774323,32,0.0001402533548,16,0.0012454058166,266
69,105000.0,0.7324786324786324,64,76356,64,0.0002764811945,592,137859,0.1684956368493,0.9986393799494,32,0.0003725575449,8,0.0130641432197,800
70,105000.0,0.04111609739881991,128,11678,64,0.0001100567577,309,21702,0.0116336328126,0.9629865429357,32,0.0002173549022,16,0.0073884868316,331
71,105000.0,0.06916473765432099,64,89356,64,0.0001106712849,888,20183,0.0639509379026,0.9677923143912,32,0.0002253777678,8,0.0020436292666,133
72,35000.0,0.7666666666666667,32,26306,32,0.0001046558451,550,23552,0.0147171654527,0.9665791420304,64,0.0003051560812,16,0.0016990260911,847
73,35000.0,0.8811965811965812,32,13110,32,0.0001028061233,655,26429,0.1137601723454,0.9545985224526,64,0.0003097052717,16,0.0014743414787,985
74,35000.0,0.15678294573643412,32,16854,32,0.0001025179904,595,27833,0.0314307897275,0.9662644664166,64,0.0002968318315,8,0.0013111137217,486
75,105000.0,0.04123107097245028,32,80915,32,0.0002018901164,126,23911,0.0298436209165,0.9526900959991,32,0.0002907951738,32,0.0928704145788,377
76,105000.0,0.04770138888888889,32,23914,32,0.0001862488096,647,24544,0.0852451509074,0.9590218919076,64,0.0001244801463,8,0.0013616371438,664
77,35000.0,0.05804507337526205,32,29787,32,0.0002616261664,122,20677,0.0624430577164,0.9647667598976,32,0.0005755054802,8,0.0021699679837,215
78,35000.0,0.9233333333333332,32,21240,32,0.0002592697377,115,20364,0.1503544860778,0.9649229618736,32,0.0004157755701,8,0.0022309025326,132
79,35000.0,0.07193152454780362,32,28648,32,0.00023690938,158,25879,0.0935149852086,0.9658998413718,32,0.0005228787289,8,0.0020565994425,129
80,105000.0,0.04361088020689018,32,29787,32,0.0002616261664,122,20677,0.0624430577164,0.9647667598976,32,0.0005755054802,8,0.0021699679837,215
81,105000.0,0.04330632716049383,32,16854,32,0.0001025179904,595,27833,0.0314307897275,0.9662644664166,64,0.0002968318315,8,0.0013111137217,486
82,105000.0,0.7855281207133059,64,93337,64,0.0005845162946,885,118964,0.2666592117167,0.9873792365307,64,0.0005653167131,32,0.0051545660457,258
83,105000.0,0.0489463601532567,32,80915,32,0.0002345343507,126,23364,0.0134495702283,0.9648566641171,32,0.0003300344771,8,0.0712801887878,185
84,35000.0,0.06428062678062678,32,39590,32,0.0002527981518,127,20151,0.1444785645409,0.9590763094713,32,0.0001427137898,8,0.0012454058166,196
85,35000.0,0.06374007936507937,32,35502,32,0.0002675747689,205,25115,0.0275928930809,0.9652787792304,32,0.0006257146722,8,0.0017636077737,506
86,35000.0,0.6856150793650794,64,91263,64,0.0007400925983,327,42234,0.1545557435854,0.9956159153747,64,0.0003372459343,16,0.0013855734391,845
87,105000.0,0.04181732580037664,32,39053,64,0.0002345343507,135,23175,0.0237463014908,0.9641467576993,32,0.0003300344771,16,0.1095494838422,185
88,105000.0,1.0,32,15734,64,0.000232779813,333,28943,0.0274865225417,0.9638692589336,32,0.0001601807565,32,0.2881074391214,102
89,35000.0,0.11414141414141415,32,15228,64,0.0001565026155,345,41779,0.0221540115846,0.9508596877477,32,0.0006035956425,16,0.3562261011459,174
90,35000.0,0.05467351237493418,32,19585,64,0.0002364469455,122,21123,0.0242597617143,0.9616222274836,32,0.0008365945882,32,0.0135293719051,100
91,35000.0,0.0695436507936508,32,20492,64,0.0002380305389,106,28341,0.0165643114145,0.9579113107837,32,0.0002112789798,32,0.0131095509787,464
92,105000.0,0.8340277777777778,32,35502,32,0.0002675747689,205,25115,0.0275928930809,0.9652787792304,32,0.0006257146722,8,0.0017636077737,506
93,105000.0,0.8970349563046193,128,57186,64,0.0002387664503,810,106127,0.2270666253337,0.9914636456443,64,0.0005877034667,16,0.0040622189749,884
94,105000.0,1.0,32,23372,64,0.0007431248556,142,26541,0.0194717070718,0.9569603768519,32,0.0002419247085,32,0.5860306986762,796
95,35000.0,0.935,32,38438,64,0.0003064021755,658,140921,0.2798150074917,0.9852482583972,64,0.0005108969838,16,0.0035461858677,316
96,35000.0,0.9930000000000001,32,31611,64,0.0002352612341,272,21919,0.016916093324,0.9614531158287,32,0.0004334806369,32,0.0041129738377,691
97,35000.0,0.87609126984127,32,70485,64,0.00022332067,135,25022,0.0240300945054,0.963057319577,32,0.0002907951738,32,0.1224938674582,353
98,105000.0,0.04185778820258883,32,10773,64,0.0001100567577,206,21702,0.0116336328126,0.9627451877585,32,0.0001756284996,32,0.0055428147778,107
99,105000.0,0.04157734204793029,32,52071,32,0.0002579203511,172,21793,0.0209265761655,0.9604591932735,64,0.0009082851591,16,0.0956223519494,443
